File ID,digit_label,participant,intonation
0000000.wav,4,S73,question
0000001.wav,2,S88,excited
0000002.wav,70,S5,neutral
0000003.wav,2,S85,bored
0000004.wav,4,S30,excited
0000005.wav,10,S55,question
0000006.wav,2,S136,neutral
0000007.wav,50,S171,bored
0000008.wav,30,S41,bored
0000009.wav,1,S29,excited
0000010.wav,3,S152,excited
0000011.wav,18,S89,bored
0000012.wav,6,S54,question
0000013.wav,9,S89,bored
0000014.wav,70,S7,neutral
0000015.wav,90,S102,neutral
0000016.wav,9,S30,bored
0000017.wav,2,S158,bored
0000018.wav,80,S95,neutral
0000019.wav,50,S119,bored
0000020.wav,1000000000,S32,question
0000021.wav,90,S31,neutral
0000022.wav,70,S154,excited
0000023.wav,5,S42,question
0000024.wav,1000000000,S1,bored
0000025.wav,4,S41,neutral
0000026.wav,1000,S155,bored
0000027.wav,7,S30,excited
0000028.wav,9,S35,question
0000029.wav,1000,S64,excited
0000030.wav,1,S81,question
0000031.wav,9,S125,excited
0000032.wav,9,S87,bored
0000033.wav,1,S130,question
0000034.wav,9,S25,excited
0000035.wav,20,S155,question
0000036.wav,70,S92,question
0000037.wav,70,S178,question
0000038.wav,40,S141,bored
0000039.wav,5,S11,question
0000040.wav,4,S81,neutral
0000041.wav,11,S73,bored
0000042.wav,5,S54,neutral
0000043.wav,1000000,S6,bored
0000044.wav,15,S136,neutral
0000045.wav,10,S128,excited
0000046.wav,6,S41,neutral
0000047.wav,3,S147,excited
0000048.wav,9,S181,bored
0000049.wav,16,S154,question
0000050.wav,14,S67,question
0000051.wav,16,S133,question
0000052.wav,1000,S53,bored
0000053.wav,12,S34,neutral
0000054.wav,13,S145,question
0000055.wav,7,S22,excited
0000056.wav,90,S83,bored
0000057.wav,3,S171,bored
0000058.wav,12,S83,question
0000059.wav,18,S155,excited
0000060.wav,80,S68,question
0000061.wav,11,S12,excited
0000062.wav,60,S31,question
0000063.wav,90,S80,neutral
0000064.wav,11,S41,excited
0000065.wav,5,S178,question
0000066.wav,16,S119,excited
0000067.wav,0,S38,bored
0000068.wav,15,S144,question
0000069.wav,30,S146,neutral
0000070.wav,80,S181,excited
0000071.wav,6,S8,excited
0000072.wav,4,S154,bored
0000073.wav,50,S102,excited
0000074.wav,12,S40,excited
0000075.wav,17,S158,question
0000076.wav,9,S143,question
0000077.wav,60,S179,neutral
0000078.wav,9,S49,neutral
0000079.wav,15,S47,bored
0000080.wav,15,S54,neutral
0000081.wav,0,S63,bored
0000082.wav,15,S7,excited
0000083.wav,12,S8,question
0000084.wav,14,S153,bored
0000085.wav,20,S2,excited
0000086.wav,9,S99,excited
0000087.wav,0,S59,question
0000088.wav,17,S26,question
0000089.wav,15,S5,neutral
0000090.wav,17,S140,excited
0000091.wav,7,S114,neutral
0000092.wav,60,S171,question
0000093.wav,50,S6,neutral
0000094.wav,13,S161,neutral
0000095.wav,16,S10,neutral
0000096.wav,3,S78,excited
0000097.wav,13,S50,neutral
0000098.wav,9,S89,question
0000099.wav,1000000000,S152,question
0000100.wav,18,S22,bored
0000101.wav,19,S68,excited
0000102.wav,1,S75,neutral
0000103.wav,100,S151,neutral
0000104.wav,1000000,S61,question
0000105.wav,20,S73,excited
0000106.wav,15,S158,excited
0000107.wav,7,S119,question
0000108.wav,1,S164,neutral
0000109.wav,19,S165,question
0000110.wav,60,S136,neutral
0000111.wav,13,S107,excited
0000112.wav,19,S54,question
0000113.wav,6,S106,bored
0000114.wav,15,S136,question
0000115.wav,90,S140,question
0000116.wav,1000000,S19,question
0000117.wav,6,S89,excited
0000118.wav,3,S92,bored
0000119.wav,9,S179,neutral
0000120.wav,11,S168,bored
0000121.wav,9,S62,neutral
0000122.wav,90,S129,neutral
0000123.wav,17,S142,question
0000124.wav,17,S71,neutral
0000125.wav,4,S124,bored
0000126.wav,7,S157,neutral
0000127.wav,13,S121,question
0000128.wav,19,S5,question
0000129.wav,1000000,S30,neutral
0000130.wav,6,S43,excited
0000131.wav,8,S145,question
0000132.wav,2,S41,excited
0000133.wav,20,S179,question
0000134.wav,8,S81,bored
0000135.wav,15,S47,neutral
0000136.wav,2,S86,question
0000137.wav,1000000000,S76,excited
0000138.wav,11,S156,question
0000139.wav,1000000000,S119,neutral
0000140.wav,60,S66,neutral
0000141.wav,50,S42,bored
0000142.wav,20,S161,bored
0000143.wav,30,S48,neutral
0000144.wav,3,S22,bored
0000145.wav,1000000000,S16,excited
0000146.wav,60,S58,excited
0000147.wav,4,S122,neutral
0000148.wav,30,S157,excited
0000149.wav,1000000,S100,question
0000150.wav,16,S39,neutral
0000151.wav,1,S62,bored
0000152.wav,1,S97,bored
0000153.wav,0,S53,question
0000154.wav,1,S17,bored
0000155.wav,3,S111,excited
0000156.wav,1000000,S38,question
0000157.wav,5,S167,excited
0000158.wav,5,S23,question
0000159.wav,10,S116,bored
0000160.wav,19,S178,question
0000161.wav,30,S165,bored
0000162.wav,16,S93,neutral
0000163.wav,5,S88,bored
0000164.wav,1,S143,question
0000165.wav,30,S139,question
0000166.wav,1,S37,question
0000167.wav,100,S140,neutral
0000168.wav,18,S183,excited
0000169.wav,40,S143,bored
0000170.wav,16,S106,question
0000171.wav,12,S100,excited
0000172.wav,60,S3,neutral
0000173.wav,60,S38,question
0000174.wav,90,S97,neutral
0000175.wav,60,S113,excited
0000176.wav,10,S10,question
0000177.wav,10,S28,question
0000178.wav,0,S18,bored
0000179.wav,18,S101,bored
0000180.wav,1000000,S111,question
0000181.wav,16,S52,neutral
0000182.wav,40,S140,excited
0000183.wav,2,S53,neutral
0000184.wav,20,S48,question
0000185.wav,18,S27,bored
0000186.wav,90,S79,neutral
0000187.wav,0,S151,bored
0000188.wav,2,S41,neutral
0000189.wav,19,S2,question
0000190.wav,13,S9,neutral
0000191.wav,60,S153,excited
0000192.wav,100,S29,excited
0000193.wav,8,S81,excited
0000194.wav,40,S32,excited
0000195.wav,50,S52,excited
0000196.wav,2,S36,bored
0000197.wav,4,S153,question
0000198.wav,13,S39,question
0000199.wav,2,S176,excited
0000200.wav,13,S62,bored
0000201.wav,12,S151,excited
0000202.wav,4,S164,question
0000203.wav,19,S155,question
0000204.wav,9,S141,bored
0000205.wav,13,S155,neutral
0000206.wav,3,S150,neutral
0000207.wav,11,S121,excited
0000208.wav,100,S16,question
0000209.wav,6,S143,excited
0000210.wav,1000000000,S60,question
0000211.wav,1000000000,S123,bored
0000212.wav,2,S105,bored
0000213.wav,18,S168,bored
0000214.wav,14,S106,excited
0000215.wav,90,S23,question
0000216.wav,5,S163,excited
0000217.wav,0,S142,bored
0000218.wav,1,S141,bored
0000219.wav,20,S104,bored
0000220.wav,70,S32,bored
0000221.wav,5,S160,neutral
0000222.wav,12,S161,question
0000223.wav,20,S43,question
0000224.wav,80,S103,neutral
0000225.wav,7,S97,neutral
0000226.wav,15,S29,question
0000227.wav,15,S23,excited
0000228.wav,4,S126,bored
0000229.wav,10,S61,question
0000230.wav,30,S108,bored
0000231.wav,8,S15,neutral
0000232.wav,8,S170,neutral
0000233.wav,1000000000,S37,question
0000234.wav,40,S147,excited
0000235.wav,1000000,S40,bored
0000236.wav,10,S59,excited
0000237.wav,15,S25,question
0000238.wav,19,S108,bored
0000239.wav,8,S50,question
0000240.wav,6,S136,question
0000241.wav,6,S55,excited
0000242.wav,0,S110,question
0000243.wav,1,S19,bored
0000244.wav,100,S168,neutral
0000245.wav,50,S21,excited
0000246.wav,20,S93,question
0000247.wav,20,S144,question
0000248.wav,4,S11,question
0000249.wav,15,S72,excited
0000250.wav,1000000000,S149,neutral
0000251.wav,70,S92,bored
0000252.wav,40,S164,excited
0000253.wav,40,S22,question
0000254.wav,14,S33,neutral
0000255.wav,13,S111,question
0000256.wav,17,S47,bored
0000257.wav,30,S181,bored
0000258.wav,18,S153,excited
0000259.wav,10,S171,bored
0000260.wav,14,S56,excited
0000261.wav,70,S19,question
0000262.wav,14,S82,excited
0000263.wav,13,S73,bored
0000264.wav,12,S182,excited
0000265.wav,100,S39,question
0000266.wav,30,S87,neutral
0000267.wav,17,S168,neutral
0000268.wav,4,S84,excited
0000269.wav,6,S68,neutral
0000270.wav,10,S180,neutral
0000271.wav,15,S59,excited
0000272.wav,40,S116,excited
0000273.wav,50,S74,neutral
0000274.wav,13,S96,neutral
0000275.wav,80,S22,excited
0000276.wav,17,S12,bored
0000277.wav,3,S180,neutral
0000278.wav,19,S42,question
0000279.wav,3,S165,excited
0000280.wav,1,S136,excited
0000281.wav,8,S27,excited
0000282.wav,90,S141,neutral
0000283.wav,2,S129,neutral
0000284.wav,10,S74,excited
0000285.wav,17,S78,neutral
0000286.wav,5,S39,neutral
0000287.wav,1000,S179,question
0000288.wav,50,S160,excited
0000289.wav,9,S13,question
0000290.wav,1000000000,S56,excited
0000291.wav,40,S115,excited
0000292.wav,50,S48,question
0000293.wav,1000,S164,excited
0000294.wav,12,S178,question
0000295.wav,3,S20,bored
0000296.wav,11,S184,excited
0000297.wav,11,S18,question
0000298.wav,50,S127,excited
0000299.wav,10,S17,excited
0000300.wav,5,S59,bored
0000301.wav,6,S140,bored
0000302.wav,5,S30,neutral
0000303.wav,70,S112,neutral
0000304.wav,11,S27,bored
0000305.wav,13,S29,question
0000306.wav,30,S2,question
0000307.wav,15,S112,excited
0000308.wav,90,S25,neutral
0000309.wav,0,S115,bored
0000310.wav,11,S13,neutral
0000311.wav,3,S120,excited
0000312.wav,6,S182,excited
0000313.wav,100,S129,bored
0000314.wav,8,S99,neutral
0000315.wav,40,S172,neutral
0000316.wav,3,S53,excited
0000317.wav,15,S87,question
0000318.wav,18,S67,excited
0000319.wav,20,S82,bored
0000320.wav,19,S69,question
0000321.wav,3,S39,excited
0000322.wav,1000,S156,bored
0000323.wav,10,S133,bored
0000324.wav,6,S83,excited
0000325.wav,3,S9,bored
0000326.wav,1000000,S147,neutral
0000327.wav,1,S72,bored
0000328.wav,10,S37,excited
0000329.wav,50,S159,question
0000330.wav,12,S17,neutral
0000331.wav,30,S9,excited
0000332.wav,4,S24,excited
0000333.wav,70,S120,neutral
0000334.wav,1,S78,excited
0000335.wav,50,S79,neutral
0000336.wav,12,S104,bored
0000337.wav,6,S85,neutral
0000338.wav,13,S85,neutral
0000339.wav,6,S59,neutral
0000340.wav,1000000,S59,bored
0000341.wav,19,S29,neutral
0000342.wav,11,S51,question
0000343.wav,10,S175,neutral
0000344.wav,12,S16,question
0000345.wav,8,S86,question
0000346.wav,19,S31,neutral
0000347.wav,10,S184,excited
0000348.wav,4,S41,excited
0000349.wav,19,S116,question
0000350.wav,1000,S40,question
0000351.wav,80,S42,question
0000352.wav,10,S111,excited
0000353.wav,1,S170,bored
0000354.wav,12,S106,bored
0000355.wav,4,S25,neutral
0000356.wav,8,S96,bored
0000357.wav,1000000000,S124,bored
0000358.wav,40,S81,question
0000359.wav,13,S164,bored
0000360.wav,12,S13,neutral
0000361.wav,10,S12,neutral
0000362.wav,30,S142,question
0000363.wav,3,S102,neutral
0000364.wav,1000000000,S102,excited
0000365.wav,40,S80,excited
0000366.wav,9,S104,excited
0000367.wav,15,S166,question
0000368.wav,20,S29,bored
0000369.wav,11,S39,bored
0000370.wav,4,S99,excited
0000371.wav,6,S154,bored
0000372.wav,5,S112,bored
0000373.wav,1000000000,S6,neutral
0000374.wav,10,S120,neutral
0000375.wav,6,S38,neutral
0000376.wav,9,S49,excited
0000377.wav,3,S46,neutral
0000378.wav,60,S152,neutral
0000379.wav,12,S148,question
0000380.wav,8,S122,question
0000381.wav,80,S166,question
0000382.wav,15,S18,bored
0000383.wav,10,S60,question
0000384.wav,3,S112,bored
0000385.wav,40,S116,neutral
0000386.wav,4,S4,neutral
0000387.wav,15,S40,excited
0000388.wav,0,S59,neutral
0000389.wav,14,S106,neutral
0000390.wav,2,S127,bored
0000391.wav,10,S46,bored
0000392.wav,1,S168,question
0000393.wav,100,S149,bored
0000394.wav,3,S62,excited
0000395.wav,7,S108,excited
0000396.wav,10,S164,neutral
0000397.wav,14,S96,neutral
0000398.wav,90,S78,question
0000399.wav,12,S157,excited
0000400.wav,9,S169,question
0000401.wav,90,S9,excited
0000402.wav,1000000,S34,excited
0000403.wav,1000000,S57,bored
0000404.wav,12,S123,neutral
0000405.wav,19,S30,neutral
0000406.wav,19,S149,excited
0000407.wav,9,S117,excited
0000408.wav,13,S46,bored
0000409.wav,1000000000,S127,neutral
0000410.wav,20,S80,excited
0000411.wav,19,S145,bored
0000412.wav,9,S39,bored
0000413.wav,3,S56,bored
0000414.wav,12,S73,bored
0000415.wav,50,S62,excited
0000416.wav,50,S159,neutral
0000417.wav,1000000000,S79,excited
0000418.wav,70,S42,neutral
0000419.wav,16,S35,bored
0000420.wav,100,S79,bored
0000421.wav,17,S116,excited
0000422.wav,1000,S101,bored
0000423.wav,40,S108,neutral
0000424.wav,30,S92,bored
0000425.wav,80,S99,excited
0000426.wav,40,S155,excited
0000427.wav,4,S72,question
0000428.wav,8,S162,neutral
0000429.wav,19,S3,bored
0000430.wav,11,S2,question
0000431.wav,15,S116,excited
0000432.wav,7,S129,question
